Module                  Size  Used by
uhid                   20480  1
hidp                   40960  0
xt_conntrack           12288  1
xt_MASQUERADE          16384  1
bridge                425984  0
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
xfrm_user              61440  1
xfrm_algo              16384  1 xfrm_user
xt_set                 20480  0
ip_set                 61440  1 xt_set
nft_chain_nat          12288  5
nf_nat                 61440  2 nft_chain_nat,xt_MASQUERADE
nf_conntrack          196608  3 xt_conntrack,nf_nat,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
rfcomm                102400  16
xt_addrtype            12288  4
nft_compat             20480  6
nf_tables             380928  57 nft_compat,nft_chain_nat
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
ccm                    20480  9
overlay               212992  0
snd_sof_pci_intel_skl    12288  0
snd_sof_intel_hda_common   217088  1 snd_sof_pci_intel_skl
soundwire_intel        73728  1 snd_sof_intel_hda_common
snd_sof_intel_hda_mlink    45056  2 soundwire_intel,snd_sof_intel_hda_common
soundwire_cadence      45056  1 soundwire_intel
snd_sof_intel_hda      24576  1 snd_sof_intel_hda_common
snd_sof_pci            24576  2 snd_sof_intel_hda_common,snd_sof_pci_intel_skl
snd_sof_xtensa_dsp     12288  1 snd_sof_intel_hda_common
snd_sof               380928  3 snd_sof_pci,snd_sof_intel_hda_common,snd_sof_intel_hda
snd_sof_utils          16384  1 snd_sof
soundwire_generic_allocation    12288  1 soundwire_intel
soundwire_bus         110592  3 soundwire_intel,soundwire_generic_allocation,soundwire_cadence
snd_soc_avs           188416  0
snd_soc_hda_codec      24576  1 snd_soc_avs
snd_soc_skl           208896  0
intel_rapl_msr         20480  0
intel_rapl_common      40960  1 intel_rapl_msr
snd_soc_hdac_hda       24576  2 snd_sof_intel_hda_common,snd_soc_skl
intel_uncore_frequency    16384  0
qrtr                   53248  2
intel_uncore_frequency_common    16384  1 intel_uncore_frequency
snd_hda_ext_core       32768  7 snd_soc_avs,snd_soc_hda_codec,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda_mlink,snd_soc_skl,snd_sof_intel_hda
snd_soc_sst_ipc        20480  1 snd_soc_skl
snd_soc_sst_dsp        36864  1 snd_soc_skl
snd_soc_acpi_intel_match    98304  3 snd_sof_intel_hda_common,snd_soc_skl,snd_sof_pci_intel_skl
snd_soc_acpi           16384  3 snd_soc_acpi_intel_match,snd_sof_intel_hda_common,snd_soc_skl
snd_soc_core          442368  7 snd_soc_avs,snd_soc_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_soc_skl
intel_pmc_core_pltdrv    12288  0
snd_hda_codec_hdmi     94208  1
snd_compress           28672  2 snd_soc_avs,snd_soc_core
snd_ctl_led            24576  0
ledtrig_audio          12288  1 snd_ctl_led
ac97_bus               12288  1 snd_soc_core
snd_hda_codec_realtek   208896  1
intel_pmc_core        118784  0
snd_pcm_dmaengine      16384  1 snd_soc_core
snd_hda_codec_generic   122880  1 snd_hda_codec_realtek
intel_vsec             20480  1 intel_pmc_core
pmt_telemetry          16384  1 intel_pmc_core
snd_hda_intel          61440  1
cmac                   12288  3
pmt_class              12288  1 pmt_telemetry
intel_tcc_cooling      12288  0
snd_intel_dspcfg       36864  5 snd_soc_avs,snd_hda_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_skl
snd_intel_sdw_acpi     16384  2 snd_sof_intel_hda_common,snd_intel_dspcfg
snd_hda_codec         204800  9 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_codec_realtek,snd_soc_hdac_hda,snd_soc_skl,snd_sof_intel_hda
algif_hash             12288  1
x86_pkg_temp_thermal    20480  0
snd_hda_core          139264  12 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_hda_codec_realtek,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_soc_skl,snd_sof_intel_hda
algif_skcipher         12288  1
af_alg                 32768  6 algif_hash,algif_skcipher
intel_powerclamp       24576  0
bnep                   32768  2
snd_hwdep              20480  1 snd_hda_codec
coretemp               24576  0
kvm_intel             487424  0
snd_pcm               192512  13 snd_soc_avs,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_compress,snd_soc_core,snd_sof_utils,snd_soc_skl,snd_hda_core,snd_pcm_dmaengine
snd_seq_midi           24576  0
iwlmvm                868352  0
kvm                  1404928  1 kvm_intel
snd_seq_midi_event     16384  1 snd_seq_midi
btusb                  81920  0
mac80211             1744896  1 iwlmvm
btrtl                  32768  1 btusb
irqbypass              12288  1 kvm
btintel                57344  1 btusb
uvcvideo              147456  0
videobuf2_vmalloc      20480  1 uvcvideo
uvc                    12288  1 uvcvideo
videobuf2_memops       16384  1 videobuf2_vmalloc
videobuf2_v4l2         36864  1 uvcvideo
btbcm                  24576  1 btusb
rapl                   20480  0
libarc4                12288  1 mac80211
mei_pxp                16384  0
mei_hdcp               28672  0
ee1004                 16384  0
snd_rawmidi            57344  1 snd_seq_midi
videodev              352256  2 videobuf2_v4l2,uvcvideo
btmtk                  12288  1 btusb
i915                 4288512  33
videobuf2_common       81920  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
snd_seq               118784  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
intel_cstate           24576  0
iwlwifi               606208  1 iwlmvm
bluetooth            1036288  47 btrtl,hidp,btmtk,btintel,btbcm,bnep,btusb,rfcomm
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
drm_buddy              20480  1 i915
intel_wmi_thunderbolt    16384  0
ecdh_generic           16384  2 bluetooth
ttm                   110592  1 i915
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
snd_timer              49152  3 snd_seq,snd_hrtimer,snd_pcm
wmi_bmof               12288  0
drm_display_helper    237568  1 i915
ecc                    45056  1 ecdh_generic
cfg80211             1368064  3 iwlmvm,iwlwifi,mac80211
snd                   143360  19 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
cec                    94208  2 drm_display_helper,i915
i2c_i801               36864  0
mei_me                 53248  2
soundcore              16384  2 snd_ctl_led,snd
i2c_smbus              16384  1 i2c_i801
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
rc_core                73728  1 cec
i2c_algo_bit           16384  1 i915
intel_xhci_usb_role_switch    12288  0
intel_pch_thermal      20480  0
ideapad_laptop         49152  0
sparse_keymap          12288  1 ideapad_laptop
platform_profile       12288  1 ideapad_laptop
acpi_pad              184320  0
binfmt_misc            24576  1
